No.,内定有無,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度
1,0,２０〜２５才,男,59,68,63,39,47,48,24,59,23,38,49,40,47,34,43,78,50,17,55,63,50,32,61,39,62,44,60,37,62,57,31,39,57,56,45,42,80,100,80,100,100,80,60,100,60,80,100,80,80,80,20,60,3,Ｄ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,30,51,47,51,23,54,31,55,52,50,58,0
2,0,２０〜２５才,女,48,61,55,36,54,45,44,53,53,47,39,36,63,38,43,58,55,48,42,59,56,52,45,50,50,50,64,48,51,50,35,57,50,46,56,47,80,100,80,60,80,80,80,80,100,80,80,100,80,80,40,60,-4,Ｄ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,37,37,34,49,40,44,46,52,50,49,50,0
3,0,２０〜２５才,女,48,61,55,36,54,45,44,53,53,47,39,36,63,38,43,58,55,48,42,59,56,52,45,50,50,50,64,48,51,50,35,57,50,46,56,47,80,100,80,60,80,80,80,80,100,80,80,100,80,80,40,60,-4,Ｄ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,37,37,34,49,40,44,46,52,50,49,50,0
4,内定,２０〜２５才,女,37,58,47,49,47,53,55,48,53,65,51,40,43,38,58,66,44,40,51,47,44,47,45,58,44,47,60,33,47,46,50,54,48,42,49,47,80,80,80,60,60,80,100,60,60,40,40,60,60,60,60,80,1,Ｄ,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,54,30,37,48,45,34,43,50,49,54,49,0
5,0,２０〜２５才,女,26,54,47,43,63,56,51,48,37,50,71,52,53,38,43,50,50,61,55,34,50,63,27,46,54,51,55,70,57,55,44,64,57,42,52,52,80,100,80,80,80,80,100,60,100,40,80,40,40,80,60,80,2,Ｃ,何か不安をかかえているのか、自信のなさが目立つことがある。どこかオドオドしたような印象を与えることもある。真面目で一途だといえるが、自分を表現することが苦手で、安定した気持ちを保てないため、どうしても陰にこもってしまう傾向がある。過敏であり、細かい神経であることがわざわいしている。また、失敗に対する不安がストレスにもなっている。そして、能力以上のものを求めようとして、気持ちにゆとりがなくなり、気負いと劣等感とでギクシャクしている。これは、自分と向かい合い、見つめ直すことがないために、適切な判断力ができないでいるからである。また、気分屋なところもあり、思い付きは早いが、それを行動に移すに際しては尻の重たさが感じられ、身軽に動きまわるというほどではない。気立てはよくお人好しなのだが、自分から取り組む積極性に欠ける。また、感情の起伏が激しく、調子にのり機嫌のよい時と、落ち込み沈んでいる時が顕著にあらわる。気分にムラがあり、物事があまり長続きしない面も気になる。,53,50,56,43,49,46,58,48,49,52,40,0
6,0,２０〜２５才,男,61,61,47,49,47,63,71,48,45,65,30,40,60,34,49,62,52,44,46,53,41,47,61,65,39,30,68,44,51,65,61,50,53,35,34,52,100,100,100,40,80,100,100,80,80,100,40,100,100,80,100,100,10,Ｃ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,57,40,34,61,49,45,45,57,56,62,58,0
7,0,２０〜２５才,男,100,68,59,23,38,75,58,41,41,57,59,56,53,42,52,41,50,52,76,47,56,47,36,52,47,57,55,48,36,50,58,57,72,42,45,39,60,100,100,40,100,100,60,60,80,60,20,100,80,40,40,80,11,Ｂ,几帳面で、生活ぶりもキチンとしている。努力を信条として、地道に自分らしい事を息切れがせずいつまでも丹念に続けるタイプの人である。徹底性もみられ、納得がいくまで手掛けたことを大事にする。そして常識家でもあり、世間から逸脱した行動をとることはない。いわば万事手堅く安全にという生き方といえるが、斬新さや柔軟さに欠ける。しかし、頭の中にはアイデアがたくさんつまっていて、凝り性なところもある。ただ、内面で素晴らしい発案や考えがあっても、それを他人にうまく表現し伝えるとなると堅苦しくなってしまう。また、どちらかというと美的な生き方をしているといえる。他人と交友関係を進んでもつことは少ないものの、自己の考えや価値観の合う人は大切にしている。しかし、生活のためか、情報収集のために必要な社会的アンテナは張っている。ものの見方は自分も含め客観的で、物事をキチンと把握しようとしている。そのためか、常に一歩外からの発言が多く、冷たいとの印象を与えがちだが内面性は非常に豊かである。,66,41,47,64,60,45,44,54,62,55,52,0
8,0,２０〜２５才,女,69,48,50,51,42,53,48,44,37,53,42,56,40,34,52,66,50,56,55,56,47,55,53,50,47,38,49,54,54,57,44,57,65,42,49,54,80,100,100,80,60,60,80,40,80,40,40,80,80,60,40,60,12,Ｃ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,44,45,53,47,53,44,53,56,56,55,58,0
9,0,２０〜２５才,男,47,61,50,43,38,50,55,48,37,53,68,40,57,38,52,46,43,31,51,34,47,32,45,55,44,54,45,33,45,43,44,35,42,42,41,42,60,100,80,60,60,100,60,80,80,60,80,80,80,40,60,60,3,Ｅ,大勢の人が集まるところでは、自分に自信がないせいか、快活に振る舞うことを苦手とする。神経が細かく過敏な性格で、人前では緊張して堅くなりがちである。また、余裕がなくなると不安定な行動をとる可能性がある。一般的には真面目で一途な人に多いが、斬新さや柔軟性に欠け、おおらかさが不足している。常に失敗に対する不安感があるため、これを克服しようとして自分の能力以上に計画をたて、慢性的なイライラ状態になっている感じである。一度、じっくりと自分と向かい合って、その原因をつきとめないとチャランポランさはなくならない。また、自分の殻にこもり、外界に興味をあまりしめさない。他人との接触も煩わしく感じ、交友関係も進んで持とうとしない傾向がある。それよりも空想にでもふけながら、自己の内面世界で遊んでいるほうが幸せを感じている。言いかえれば、美的な生き方をしているともいえるが、気負いや劣等感でギクシャクしている。物事を客観的にみようとする傾向はあるが、それさえもつかみどころがない。,47,19,23,43,37,23,37,44,43,58,45,0
10,0,２０〜２５才,女,80,45,55,61,42,75,55,50,41,57,51,36,60,65,35,50,62,61,61,59,53,67,49,52,44,51,75,62,54,63,52,61,72,39,52,64,100,100,100,100,100,100,100,80,100,60,80,80,80,80,20,60,13,Ａ,几帳面であり手掛けたことはとことん追求する徹底性もみられる。しかし、几帳面といっても、細かいことまでこだわるというより全体のまとまりを見たり、また、整理整頓は好ましいことだと思っていても、いつもきれいでなければ気がすまないというほどではない。物事の判断のしかたは、堅実というイメージであるが、ときに突発的な発想をしたりもする。行動力もあり、身軽で多少の困難にも粘り強い姿勢で対応することができる。ただ、規則や秩序を大切にしている常識家であり、決定事項などは必ず守るといった社会通念が強いあまり、お堅い人との印象を与えることもある。新しい環境などには比較的とけこむのが早く適応力がある。初対面では馴染みにくそうに思われることもあるが、本人は誰とでも気軽に話すことができ、すぐに親しくなれるような庶民的な雰囲気がある。精神的にもわりと安定していて、常に自分のリズムを一定に保つことができる。世話好きで親切な側面もあり、集団のリーダー格として活躍できる可能性をもっている。,72,68,70,63,70,76,58,65,63,55,57,0
11,0,２０〜２５才,女,76,48,33,58,50,56,40,50,32,42,59,36,47,30,49,74,55,48,51,47,47,36,41,50,65,44,75,48,66,52,35,64,72,59,49,57,100,100,100,100,100,60,100,100,100,20,100,80,60,80,20,80,5,Ｃ,気分によって変わるのだが、弱気になってしまい、自分に自信がもてないときがある。行動的な部分があるにもかかわらず、静かにしんみりとしてしまい快活に振舞おうとしないときがある。真面目で一途な人だといえるが、自己の表現方法のうまさに欠けている。そして、たくさんのことに興味がいくのか、どれもこれもとまとまりがつかなくなることがある。また、過去の経験に大きな失敗があるのか、必要以上に不安や気負いを感じているような印象を受ける。そして、失敗に対する不安を拭いさろうとして、能力以上に計画をたててしまい、かえってイライラがつのってしまうことがある。反面、自信を持ったことに対しては、素早い実行力をもって、物事にむかうようなフットワークの軽さがある。体を動かし物事を解決していくことができ、環境の変化にもたやすくついていける。行動的ではあるが、情緒的にもわりと安定しているといえ、手掛けた事を途中で放り出すこともなく、感覚的な捉え方はなく、発想も堅実であり理詰めな考え方をとる。,47,57,61,51,41,57,50,58,55,49,53,0
12,0,２０〜２５才,男,33,51,50,49,54,56,44,50,37,61,49,43,50,30,46,74,62,52,55,44,50,63,36,43,54,38,68,51,62,52,50,64,53,46,49,64,60,100,100,60,40,100,100,60,60,40,80,100,80,60,20,60,8,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,57,48,53,53,50,56,53,54,55,51,48,0
13,0,２０〜２５才,女,25,51,50,46,50,53,48,41,50,65,42,33,50,38,46,66,57,61,55,53,56,59,49,43,51,41,55,51,50,60,52,64,53,56,56,54,60,100,100,100,100,100,100,80,80,80,40,80,60,100,20,80,2,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,51,51,47,52,54,50,54,54,55,46,52,0
14,0,２０〜２５才,女,60,51,42,54,47,39,40,48,50,50,49,40,57,34,43,78,44,35,42,47,44,36,53,43,54,50,49,41,54,46,41,43,44,52,45,44,60,60,80,60,80,60,60,80,40,100,60,80,60,80,40,60,-5,Ｅ,行動性と内閉的な部分の両面を持ちそなえている。本来２個の別人間で、１個では存在しないタイプの性格である。青年期には多くみられるが、それとは異なり成熟したパーソナリティーを模索する求心的な作用がはたらいていることも考えられる。行動的なときの物事の解決方法は、考えるよりも体を動かすことでスタートする。情緒的にもわりと安定しており、一定のリズムをもって生活しているといった印象を与える。手掛けた仕事を途中で放り出してしまうような気分屋な面も特に見られない。発想も思い付きばかりではなく、理詰めな考え方をする。また、環境への適応力に対しては、それなりに波長をあわせることができるのだが、深くとけ込んでいるというほどではない。ただし、自分の考え方や価値観の合う友人や状況内では、最初は一歩はなれた位置から観察しているものの、馴染んでしまうと、その場の雰囲気や、友人を大切にする。それは、自己の価値観のなかで内面世界を築きあげていて、独自な生き方をしているというあらわれでもある。,24,18,21,29,25,24,43,47,44,48,49,0
15,0,２０才未満,女,49,58,33,36,42,45,63,41,53,57,39,47,57,57,49,41,37,52,46,41,50,43,45,62,39,36,45,37,30,30,44,39,42,46,49,44,80,80,60,60,60,60,80,40,80,60,20,80,40,60,60,60,4,Ｄ,単純なことや同じ作業を長時間こなすという持続性に欠けている。気長にコツコツとやっていく地道な事はあまり得意とはいえない。周囲が自分をどう見ているかという社会的な評価より、自分自身で手掛けていき納得のいくことのほうを重視している。自分から積極的に外に出て活動するというよりは、自己の内面世界の中で独自の価値観を形成させ、その中で好きな事をしているほうを好んでいる。そして、規則や秩序を守り、世間から逸脱した行動はとらない常識家であり、何事も万事手堅く安全にという生き方をしている。そのためか、斬新さや柔軟さに欠けてしまうことがあり、せっかく素晴らしいアイデアがあっても、常識を意識しすぎて面白くなくなってしまう可能性がある。状況判断のしかたは主観的で、その場の雰囲気や感情に流されやすい傾向がある。しかし、一度自分がこうだと決めたことは頑固に通そうとする。また、人との接触が面倒なのか交友関係を進んで持とうとしない。しかし、自分と考え方や価値観のあう友人は大切にする。,52,26,26,45,49,29,48,43,46,55,50,0
16,0,２０〜２５才,女,46,65,71,39,59,48,55,48,45,53,51,36,57,30,43,62,52,56,51,50,56,50,45,58,47,50,60,44,57,52,52,68,44,52,52,54,60,100,80,80,80,100,100,60,80,60,80,80,60,80,20,20,-3,Ｃ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,44,41,36,56,46,43,42,50,48,52,46,0
17,0,２０〜２５才,男,64,35,59,61,63,63,55,41,37,78,57,43,53,34,58,50,57,70,71,47,62,63,53,65,44,62,60,58,50,57,64,68,57,49,56,66,80,100,80,100,100,100,100,80,100,40,60,100,80,80,40,100,8,Ａ,基本的には慎重型であり、見通しがつくまで考えてから行動にしようとする。しかし、失敗したりなにか問題が起こったりすると必要以上に自分を責め、いつまでもクヨクヨとする気の弱さもある。過敏な神経の持ち主で、人前ではあがりがちである。そのため自分をうまく表現できず、気持ちに余裕がなくなると不安定な行動をとることもある。自分に自信がもてないためか、陰にこもりがちで快活さがみられない。このようなことは、気分があまり乗らないときの性格特性で、その反対のときもある。身が軽く思いたったことを素早く実行に移し、体を動かして物事を解決していこうとする。環境への適応力もあり、状況の変化にもついていくことができる。このように、その日の気分や感情で行動パターンに違いが見られる。リーダー格としての資質はあるが、ものごとに対して長続きせずいろいろと不安定な気分性と引っ込み思案である自制心の強さが問題となっている。慎重型と活動型を兼備していて、慎重なのか行動的なのかが非常にわかりずらい。,81,70,69,64,81,65,59,54,58,55,46,0
18,0,２０〜２５才,男,88,35,67,71,38,69,55,48,27,50,39,52,60,42,43,50,62,52,61,59,62,47,65,50,44,36,64,37,57,63,55,64,79,39,56,66,100,100,100,100,100,100,100,100,100,100,80,80,100,100,80,80,20,Ａ,テキパキと行動して、思いたったことは素早く実行に移すことができる。体を動かして物事を解決していくタイプの人。また環境への適応力があり、状況の変化にもたやすくついていくことができる。「活動性」と「忍耐力」が主な特性である。熱意のあまり感情的になってしまうこともあるが、わりと情緒的にも安定しており一定のリズムをもって生活をしている。手掛けた事を途中で放り出すといった、気分屋なところも目立たない。発想は思いつきや感覚的なものが多いが、理詰な考え方をすることもできる。社会性も身につけており大人の印象を与える。また、コツコツと努力する几帳面な人でもある。丹念に物事にあたり、地道に時間をかけても納得のいくまでかかわるような努力家である。それでいて、それほど規則や秩序にこだわらず、状況に応じた判断をすることができる。常識をわきまえているが、四角四面ではなく、発想も杓子定規な固定的なものではない。成熟したパーソナリティーの持ち主で周囲からも模範的な見られかたをしている。,68,69,60,72,70,74,46,65,66,56,65,0
19,0,２０〜２５才,女,60,45,55,58,47,66,63,50,50,73,54,36,47,34,46,83,57,56,61,44,62,55,36,55,50,47,60,54,51,55,64,61,50,46,56,64,100,100,80,100,80,100,100,80,100,80,80,80,80,100,60,100,7,Ａ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,74,58,55,65,72,66,53,54,56,50,47,0
20,0,２０〜２５才,男,62,54,47,51,63,69,55,61,53,78,74,56,40,34,61,50,55,52,55,28,62,43,27,50,57,70,71,51,66,55,64,77,50,49,60,61,100,100,100,100,80,80,80,80,60,40,60,80,80,60,60,60,-2,Ｂ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,60,64,69,58,60,61,49,50,51,46,34,0
21,0,２０〜２５才,男,80,75,80,33,59,36,40,48,45,38,33,40,43,30,49,74,46,31,36,67,53,25,65,52,42,41,71,37,60,52,35,39,48,46,45,39,20,100,60,40,100,80,80,60,100,100,60,80,60,80,40,40,-6,Ｅ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,31,32,32,41,27,34,27,53,46,54,56,0
