,内定予想,退職予想,個人ｺｰﾄﾞ,氏名,分類,区分,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度,内定有無,No.
0,内定,在職,,,新卒,,２０〜２５才,1,21,54,63,49,47,53,44,48,45,53,49,47,50,46,49,53,59,61,51,50,62,52,41,50,51,41,49,51,62,57,47,61,48,52,60,57,100,100,80,80,80,80,80,80,80,60,60,80,80,80,40,40,2,2,他人とすすんで関係をもつことは少ないものの、社会への関心はあり、世間にたいする配慮もみられる。また、限られた友人とは深い交友関係を形成している。発想は着実でありながら、時として非常にユニークなアイデアもでる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握している。人情的にのめりこまず、ために冷たい印象を他人に与えることがあるが、自分自身について深く内省していて、豊かな内面性をもつ。,48,49,52,42,50,51,49,52,52,48,50,0,,
1,内定,退職,,,新卒,,２０〜２５才,1,61,58,63,46,38,72,48,53,37,73,37,47,70,30,40,58,59,65,71,70,72,55,65,50,57,41,68,54,60,50,55,54,82,56,72,54,80,100,100,100,60,100,100,60,100,80,100,80,80,100,60,100,20,0,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,63,66,50,85,59,71,50,64,69,45,67,0,,
2,非内定,在職,,,新卒,,２０〜２５才,0,63,65,55,39,59,39,28,59,41,53,46,50,53,42,58,36,50,40,46,47,44,36,53,55,54,57,45,54,68,60,38,57,38,56,38,44,80,100,80,40,40,20,60,20,100,100,100,100,100,100,60,100,-8,3,客観的であるにもかかわらず、その時の感情や気分などの周期性があり、特性に違いが現れる。主性格は思索性であり、空想的かつ審美的な生き方をしている。一般的にあまり感情を表にあらわさず、自分の内面の中に押し込めてしまうことが多い。世間や周囲のことでは、興味のあることと無いことをハッキリと分別させており、関心のないことに時間を費やすのなら、その分、自分の内面性を豊かにしようと考えている。物事の見方は客観的で、人情や感情にあまり左右されることはなく、常に一歩外側から観察しようとする。また、活動的な特性もそなえているが、身軽に動き回ったりするより、むしろ落ち着いているほうを好んでいる。現在の関心事以外のことや全く新しい環境に馴染むまでには、多少の時間を必要とする。また、気分性の特性がでたときは、張り切って仕事をしていたかと思えば、部屋で落ち込んだようにじっとしているときがある。情緒的にムラがあり、一つのことが長続きしない傾向があるので多少のケアーが必要かもしれない。,31,43,51,33,29,35,42,45,45,53,44,0,,
3,内定,在職,,,新卒,,２０〜２５才,0,55,48,47,46,38,50,51,48,45,47,42,43,50,38,46,62,52,52,51,47,53,43,61,50,51,36,49,51,50,38,58,54,48,46,52,52,100,80,60,80,60,80,80,60,60,80,60,80,40,60,60,100,12,3,地味だが堅い生活をおくっている人で、仕事ぶりもまめである。手を抜かずコツコツと仕事をしていくが、あくまでも一つのことに固執するといったような頑固さはみられない。自分らしさを主張するより、社会が自分をどう見ているかのほうを気にする。そして、世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,50,31,29,45,46,36,50,49,51,51,56,0,,
4,非内定,在職,,,新卒,,２０〜２５才,1,80,54,50,54,54,42,48,38,32,53,71,47,60,34,55,41,43,40,42,38,44,43,49,58,39,59,52,48,57,41,35,50,34,35,41,50,60,60,80,60,40,60,80,80,40,40,60,80,60,40,40,80,1,3,大勢の人が集まるところでは、自分に自信がないせいか、快活に振る舞うことを苦手とする。神経が細かく過敏な性格で、人前では緊張して堅くなりがちである。また、余裕がなくなると不安定な行動をとる可能性がある。一般的には真面目で一途な人に多いが、斬新さや柔軟性に欠け、おおらかさが不足している。常に失敗に対する不安感があるため、これを克服しようとして自分の能力以上に計画をたて、慢性的なイライラ状態になっている感じである。一度、じっくりと自分と向かい合って、その原因をつきとめないとチャランポランさはなくならない。また、自分の殻にこもり、外界に興味をあまりしめさない。他人との接触も煩わしく感じ、交友関係も進んで持とうとしない傾向がある。それよりも空想にでもふけながら、自己の内面世界で遊んでいるほうが幸せを感じている。言いかえれば、美的な生き方をしているともいえるが、気負いや劣等感でギクシャクしている。物事を客観的にみようとする傾向はあるが、それさえもつかみどころがない。,41,26,36,35,38,25,45,43,38,62,41,0,,
5,非内定,退職,,,新卒,,２０〜２５才,1,66,61,59,43,42,72,51,48,27,73,68,52,47,38,46,50,46,48,71,44,59,36,41,58,47,62,75,33,51,50,50,57,68,46,52,50,60,100,100,80,80,100,100,80,80,80,20,40,60,80,60,80,12,2,時期尚早なことは決してせず、あくまでも機が熟すのを待つような慎重さがある。自分の感情を抑えるよさがあり、人に対する気配りもみられる。しかし、他人の思惑を考えすぎたり、行動する前から問題が起こることを予測するような気の弱さを表に出すことがあり、そうしたことも見方によっては、自信のなさからきているものだと誤解をまねくことがある。もともと、過敏な神経の持ち主であり、大勢の人の集まる場所では、緊張のため快活に振舞えなくなることがある。持っている冷静さを失うと、不安定な行動をとる可能性もある。一般的に真面目で一途な人に多いが、もう少し精神的に余裕をもてるような、おおらかさがほしい。また、任されたことは単純な作業であっても、飽きずに長時間こなせる持続性がある。通常は何事もコツコツと丹念に取り組むほうで、生活ぶりも規則正しく、几帳面である。努力を信条とし、いつまでも走り続ける長距離ランナー型といえる。しかし、一時に没頭しすぎるきらいがあり、しつこさとして映ることもある。,59,41,44,61,51,46,39,57,57,57,49,0,,
6,内定,在職,,,新卒,,２０〜２５才,0,98,31,55,71,47,78,66,44,50,73,30,59,53,46,35,50,71,61,76,67,53,55,61,62,36,51,68,51,54,70,77,80,76,39,49,75,100,100,100,100,100,100,100,100,100,100,60,100,100,100,20,80,15,0,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,75,71,69,73,81,73,56,68,74,57,61,0,,
7,非内定,在職,,,新卒,,２０〜２５才,0,100,68,59,33,33,69,71,41,27,73,68,56,40,22,61,41,49,56,71,44,69,50,53,62,42,50,55,58,45,50,71,80,61,42,64,50,80,100,80,60,80,100,100,80,80,60,80,100,80,60,80,60,21,0,軽はずみな行動はなく、常に慎重を期して物事に対処していく人である。自分の感情を極力抑え、落ち着いた感じがする。何事に対しても自分で納得がいくまでは、簡単に受け入れるような事はない。状況の変化に対しても徹底的に調べてから次の行動へ移る。そして、自分と他人を比較して考えることはあまりなく、人には思いやりをもって接しようとする。しかし、問題が起こるといつまでも取り越し苦労するような気弱な面もある。また、仕事にも生活にも几帳面で規則正しいといった印象がある。何事も地味だが、コツコツと最後まで丹念に取り組もうとする。瞬発力はないが、持続性が本領であり取り柄でもある。しかし、一時に没頭しすぎると、それがしつこさとして映ることもある。物事の判断は、世間のきまりや秩序などを大切にしているため、常識から逸脱した行動をとることは少ない。その意見やアイデアは手堅く、あまり大きな失敗はないが、社会通念にこだわりすぎて、斬新さや柔軟性を欠き、押し付けがましさが目立つところがある。,82,50,53,68,76,51,47,54,56,57,55,0,,
8,非内定,在職,,,新卒,,２０〜２５才,0,57,71,47,33,47,45,48,44,45,69,59,36,70,42,43,41,36,31,51,34,41,36,45,52,42,54,49,37,45,38,44,43,34,39,41,36,60,60,80,40,40,60,80,40,80,60,40,80,60,60,40,40,1,4,周囲の雑音をあまり気にせず、ときに時間を忘れたように何かを空想しているような傾向が見られる。内面的な世界の中で自己表現をすることで、喜びを感じているようである。そして、自らが進んで行動することは少ないものの、情報の収集のためのアンテナは用意している。物事の把握のしかたは客観的であり、結果と経過の両方を大切にする。自分自身についても深く内省していて、客体化した態度をとろうとする。そのためか、人から見ると本音がわかりづらいという印象があり、多少、冷たい感じを受けることがあるが、実のところ、思いやりや自分の感情を抑える良さがあり、豊かな内面性をそなえている。また、明確な見通しがつくまで動かないという慎重なところもある。しかし、その慎重性は、自分の理想があるのに対して、無理のないところで妥協してしまうこともあり、善し悪しというところである。大きな失敗をしないことはひとつの取り柄ではあるが、あれこれと考えすぎる前に、もう少し思いきった行動をとるような姿勢がほしい。,39,17,20,39,32,21,37,40,41,57,42,0,,
9,非内定,在職,,,新卒,,２０〜２５才,0,54,65,50,43,47,63,71,48,50,65,59,43,50,46,43,66,46,48,61,50,56,55,41,62,42,54,43,54,45,50,64,64,53,46,52,52,100,80,100,80,40,60,100,40,40,20,40,80,80,40,40,80,5,2,生活ぶりもキチンとしていて、几帳面な性格である。努力家であり、自分らしい事を地道に丹念に続けるタイプの人。一度手掛けたことは、納得がいくまでやり遂げようとする徹底性もみられる。いったん夢中になると、他のことが目に入らなくなることがある。また、常識や規則など社会通念を大切に考え、世間からズレた行動をとることは少なく、派手なことより、万事手堅く安全にという生き方をしている。また、物事の把握の仕方は、理論的に正しくないと信じないところがあるが、内面では非常におもしろいアイデアをもっている。しかし、それを表現する段階になると、「常識」を意識するあまり定型的になってしまう。また、自分でよく考えた上で決定したことは必ず実行し、気分や周囲の状況によって予定を変更することはない。そして、周囲への配慮や環境への意識というより、自己の内面世界に閉じ込もっている時間帯に、最高の幸せを感じる。しかし、外界の状況を完全に遮断するわけではなく、社会的な情報網は自分なりにもっている。,69,36,37,62,55,36,48,50,52,54,48,0,,
